DatasetID,ID,latitude,longitude,CommonName,SpeciesName,TSN,Count,DateTime,UploadDate,ResearchOrganization,Contact,Depth,SST
328,328_45,25.906517,-77.291067,Blainville's beaked whale,Mesoplodon densirostris,180517,7,2000/08/14 16:26:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,286,28.8
328,328_37,25.9524,-77.362217,Blainville's beaked whale,Mesoplodon densirostris,180517,1,2000/07/11 18:08:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,112,28.05
328,328_36,25.966233,-77.360517,Dwarf sperm whale,Kogia sima,180492,3,2000/07/11 17:57:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,253,28.05
328,328_34,25.9706,-77.378633,Dwarf sperm whale,Kogia sima,180492,5,2000/07/11 17:36:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,187,28.05
328,328_57,25.91215,-77.34315,Unknown small cetacean,Cetacea,180403,1,2001/01/17 10:11:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,646,28.05
328,328_52,25.904867,-77.29045,Mesoplodon sp.,Mesoplodon,180506,4,2000/11/18 12:03:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,286,28.8
328,328_64,25.896683,-77.26475,Dwarf sperm whale,Kogia sima,180492,2,2001/02/23 15:54:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,299,25.125
328,328_62,25.99015,-77.417017,Unknown delphinid,Delphinidae,180415,3,2001/02/23 13:14:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,446,25.725
328,328_74,25.991533,-77.4171,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,2,2001/06/24 13:17:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,446,25.725
328,328_93,25.96335,-77.400883,Blainville's beaked whale,Mesoplodon densirostris,180517,5,2002/02/02 11:04:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,285,26.55
